,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
0,1,freee株式会社,web系SE・PG（自社製品）,Ruby,,2019/9/13,161億603万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/540475
1,2,freee株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/13,161億603万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/540478
2,3,freee株式会社,web系SE・PG（自社製品）,"Ruby,Go",,2019/9/12,161億603万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/699
3,4,Sansan株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/12,"62億3,400万円","102億6,000万円",〇,×,https://www.geekly.co.jp/search/detail/449679
4,5,コインチェック株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/9/11,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/461907
5,6,株式会社ブレイブソフト,web系SE・PG（自社製品）,"Ruby,PHP",,2019/9/11,"1,000万円","7億1,000万円",〇,×,https://www.geekly.co.jp/search/detail/446889
6,7,株式会社パソナデジタルソリューションズ,web系SE・PG（自社製品）,"Ruby,PHP,Python",✓,2019/9/11,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/444597
7,8,アカウンティング・サース・ジャパン株式会社,web系SE・PG（自社製品）,Java,✓,2019/9/5,"1億9,900万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520877
8,9,株式会社アイスタイル,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/9/4,"34億8,200万円","284億7,000万円",〇,×,https://www.geekly.co.jp/search/detail/520169
9,10,株式会社ZOZOテクノロジーズ,web系SE・PG（自社製品）,"Ruby,Python,Java",✓,2019/9/3,"2億8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520234
10,11,株式会社ディー・エヌ・エー,web系SE・PG（自社製品）,該当なし,,2019/9/1,"103億9,700万円","1,393億9,000万円",〇,×,https://www.geekly.co.jp/search/detail/515602
11,12,ピクスタ株式会社,web系SE・PG（自社製品）,Ruby,✓,2019/8/5,3億973万円,"22億3,100万円",〇,×,https://www.geekly.co.jp/search/detail/1301
12,13,株式会社ROXX,web系SE・PG（自社製品）,該当なし,,2019/9/3,"6億3,204万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/530197
13,14,株式会社コロプラ,web系SE・PG（自社製品）,Go,✓,2019/7/3,"62億7,419万円","522億4,600万円",〇,×,https://www.geekly.co.jp/search/detail/269590
14,15,株式会社テコテック,web系SE・PG（自社製品）,"PHP,Java",,2019/9/2,"5億9,829万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/425238
15,16,株式会社ROXX,web系SE・PG（自社製品）,該当なし,,2019/7/30,"6億3,204万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/368406
16,17,株式会社テコテック,web系SE・PG（自社製品）,Java,,2019/8/5,"5億9,829万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/425239
17,18,株式会社フルスピード,web系SE・PG（自社製品）,Go,,2019/3/5,"8億9,800万円","180億6,500万円",〇,×,https://www.geekly.co.jp/search/detail/345880
18,19,株式会社タイムデザイン,web系SE・PG（自社製品）,"Java,JavaScript",,2019/5/10,3億588万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/469533
19,20,株式会社メディアジーン,web系SE・PG（自社製品）,"PHP,C++,Go",,2019/8/23,"1,500万円",5億円,〇,×,https://www.geekly.co.jp/search/detail/461854
20,21,オープンワーク株式会社,web系SE・PG（自社製品）,該当なし,,2019/2/18,"2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/303134
21,22,SUGAR株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/10,"2億1,699万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/476704
22,23,株式会社インティメート・マージャー,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/1/7,"1億5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/132641
23,24,株式会社ZOZOテクノロジーズ,web系SE・PG（自社製品）,"Ruby,Python,Java",✓,2019/8/8,"2億8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/520225
24,25,シタテル株式会社,web系SE・PG（自社製品）,該当なし,,2019/7/26,"3億7,400万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/302883
